                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    1.7,                 8.6413,                0.98508,                0.00219,                0.39455,                0.31466,                0.17305,                 1.6818,                 7.3565,                0.92962,             0.00036321,             0.00036321,             0.00036321
                      2,                 1.6806,                 5.4231,                 1.0277,                0.88744,                0.14394,                0.61875,                0.30472,                 1.6734,                 4.1986,                0.96442,             0.00054417,             0.00054417,             0.00054417
                      3,                 1.7667,                 5.0846,                 1.0083,                0.93008,                0.52115,                0.73456,                 0.3654,                 1.5927,                 2.9585,                0.95985,             0.00078772,             0.00078772,             0.00078772
                      4,                 1.6935,                 4.4485,                 1.0206,                0.77419,                0.63455,                0.69004,                0.31792,                  1.797,                 2.3641,                 1.0449,             0.00097901,             0.00097901,             0.00097901
                      5,                  1.688,                 3.9228,                 1.0128,                0.77917,                 0.6818,                0.75931,                0.37883,                 1.5588,                   1.83,                0.98432,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.5628,                 3.3589,                 1.0182,                0.82091,                0.70275,                0.74407,                0.35804,                 1.6551,                 1.7096,                  1.015,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.5825,                 3.0675,                 1.0031,                0.80172,                0.74091,                0.78115,                0.40293,                 1.5693,                 1.5665,                 1.0183,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.5329,                  2.608,                0.99837,                 0.9054,                0.73816,                0.79055,                0.41861,                 1.4862,                  1.546,                0.97476,             0.00084703,             0.00084703,             0.00084703
                      9,                 1.4258,                 2.3179,                0.97797,                0.88689,                0.74895,                0.79031,                0.41339,                 1.4954,                 1.4749,                0.96537,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.4318,                 2.2008,                0.94561,                0.88187,                0.77365,                0.81896,                0.43559,                 1.4441,                  1.397,                0.95458,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.4007,                 1.9395,                0.95592,                0.82149,                0.77037,                0.81026,                 0.4291,                 1.5688,                 1.2943,                 1.0355,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.4698,                 1.9075,                0.96474,                0.86936,                0.77775,                0.82146,                 0.4516,                  1.453,                 1.1025,                0.96787,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.3565,                 1.7155,                0.96824,                0.89702,                0.74956,                0.81361,                0.43358,                  1.458,                0.94956,                0.94505,             0.00062705,             0.00062705,             0.00062705
                     14,                 1.3136,                 1.5991,                0.91246,                0.85479,                0.79439,                0.81543,                0.45085,                 1.3945,                0.92075,                0.92856,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.2507,                  1.457,                0.90536,                0.92338,                0.79786,                0.84765,                0.47882,                 1.3404,                 0.7866,                0.91858,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.5101,                 2.0868,                 1.0015,                0.86811,                0.76623,                0.79649,                0.44979,                  1.461,                0.83989,                0.93402,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.4666,                 1.8697,                0.96891,                0.87057,                0.76741,                0.81251,                0.43292,                 1.5162,                0.86798,                0.93171,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.3587,                 1.6945,                0.95492,                0.90574,                 0.7404,                0.79755,                0.45276,                 1.4333,                0.82638,                0.92929,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.3853,                 1.6496,                0.95213,                0.89784,                0.81465,                0.86134,                0.50112,                 1.2874,                0.71525,                0.90983,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.3148,                 1.5001,                0.94332,                0.90036,                0.80668,                0.84864,                0.51079,                 1.2663,                0.71085,                0.90179,             0.00031908,             0.00031908,             0.00031908
                     21,                  1.332,                 1.5169,                0.93626,                0.92211,                 0.8095,                0.85642,                0.51397,                 1.2639,                0.67939,                0.90565,             0.00027508,             0.00027508,             0.00027508
                     22,                  1.256,                 1.3922,                 0.9257,                0.89643,                 0.8308,                0.86443,                0.52167,                 1.2356,                0.66095,                0.89228,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.2277,                 1.3184,                0.90745,                0.91721,                0.82363,                0.86185,                0.52936,                 1.2031,                0.64223,                0.88432,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.1539,                  1.257,                0.88622,                0.92867,                0.82342,                0.86007,                0.53373,                   1.17,                0.62419,                0.87825,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.0813,                 1.2108,                0.87705,                0.92116,                0.82266,                0.85764,                0.53863,                 1.1739,                0.62161,                0.87442,             9.9101e-05,             9.9101e-05,             9.9101e-05
